gbifID,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,identifiedBy,dateIdentified,recordedBy
3696083619,cc1b358a-6f6a-4ecf-bb09-9c3208552cf3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Nidula,Nidula candida,SPECIES,PH,"Mt. Santo Thomas, northern Luzon",Cordillera Administrative Region,1904-10-14 0:00:00,5243564,5243564,PRESERVED_SPECIMEN,NCU,Fungi,,,"Williams, R. S."
3470271842,http://www.botanicalcollections.be/specimen/BR5030115817632,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Dictyonema,Dictyonema thelephora,SPECIES,PH,"Baguio, Mt. Santa Tomas",,1987-02-01 0:00:00,5239438,5239438,PRESERVED_SPECIMEN,BR,,,,Aptroot A.
3457038584,https://www.inaturalist.org/observations/102704008,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Antique,2021-12-08 14:32:00,5241128,5241128,HUMAN_OBSERVATION,iNaturalist,Observations,mira152215,2021-12-08 7:28:40,mira152215
3455843991,https://www.inaturalist.org/observations/103023104,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Misamis Oriental,2021-12-14 9:05:46,5241128,5241128,HUMAN_OBSERVATION,iNaturalist,Observations,rica_rocero18,2021-12-14 1:07:24,rica_rocero18
3455807133,https://www.inaturalist.org/observations/101982709,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,Volvariella volvacea,SPECIES,PH,,Bulacan,2021-11-24 21:36:24,5241445,5241445,HUMAN_OBSERVATION,iNaturalist,Observations,Greg III Espera,2021-11-28 4:15:44,nikocat
3399172781,https://www.inaturalist.org/observations/93034823,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Bohol,2021-08-30 7:34:32,5241128,5241128,HUMAN_OBSERVATION,iNaturalist,Observations,Balay Ni Charing,2021-08-30 13:20:17,Balay Ni Charing
3384794161,https://www.inaturalist.org/observations/95110940,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Termitomyces,,GENUS,PH,,Occidental Mindoro,2021-09-14 16:26:00,2530595,,HUMAN_OBSERVATION,iNaturalist,Observations,Greg III Espera,2021-09-17 14:59:29,Michaela S. Webb
3384633532,https://www.inaturalist.org/observations/56587523,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus trisulphuratus,SPECIES,PH,,Occidental Mindoro,2020-07-31 14:51:00,5242791,5242791,HUMAN_OBSERVATION,iNaturalist,Observations,Eugene Popov,2022-01-17 3:44:37,Michaela S. Webb
3383845609,https://www.inaturalist.org/observations/69192818,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Termitomyces,,GENUS,PH,,Occidental Mindoro,2020-09-25 11:05:00,2530595,,HUMAN_OBSERVATION,iNaturalist,Observations,Michaela S. Webb,2021-09-17 23:23:58,Michaela S. Webb
3350364701,KF443245,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cyphellostereum,,GENUS,PH,,,,7982847,,PRESERVED_SPECIMEN,,,,,
3348557129,LN997761,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,,,FAMILY,PH,"Manila, University of Santo Tomas",,2012-04-01 0:00:00,4186,,MATERIAL_SAMPLE,,,,,
3348467081,KY861417,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cyphellostereum,,GENUS,PH,,,,7982847,,PRESERVED_SPECIMEN,,,,,
3348450190,KY861656,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Dictyonema,,GENUS,PH,,,,2523832,,PRESERVED_SPECIMEN,,,,,
3348450183,KY861395,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cyphellostereum,,GENUS,PH,,,,7982847,,PRESERVED_SPECIMEN,,,,,
3347191271,KF443278,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cyphellostereum,Cyphellostereum phyllogenum,SPECIES,PH,,,,7650682,7774223,PRESERVED_SPECIMEN,,,,,
3337438674,https://www.inaturalist.org/observations/89904999,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Termitomyces,,GENUS,PH,,Bohol,2021-08-01 3:18:57,2530595,,HUMAN_OBSERVATION,iNaturalist,Observations,Greg III Espera,2021-08-04 18:51:42,Balay Ni Charing
3327745386,https://www.inaturalist.org/observations/64143864,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus aureogranulatus,SPECIES,PH,,Metropolitan Manila,2020-11-04 6:48:00,2534597,2534597,HUMAN_OBSERVATION,iNaturalist,Observations,manuel mendoza,2021-07-16 14:05:08,cnid_arianne
3307329405,https://www.inaturalist.org/observations/82873361,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Metropolitan Manila,2020-11-01 21:27:12,5241128,5241128,HUMAN_OBSERVATION,iNaturalist,Observations,Aniruddha Chatterjee,2021-06-13 17:41:54,Aniruddha Chatterjee
3110160684,30ba5421-04cd-4661-b485-1a4d2920ba45,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-08-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110158712,e912dfdd-3e25-41c3-b8e7-afffa2d88922,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-06-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110156440,3f91413a-2236-4e8c-80c6-128293fc4c6b,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-06-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110155898,a4f46dc4-eb54-4bd6-a612-11deeaff0b76,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-09-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110153327,a1ff3044-5a6f-4052-baf8-3a42a781e756,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1915-10-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110150831,3f78d5b5-3263-4d1b-bd7c-e9e49172e97b,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-07-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110149166,255a3c55-912f-47b8-861d-75ca7482595f,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-07-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110148575,f9a30969-9bdf-4ef0-aff4-eaad25b1c222,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-05-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110144320,16aaf20c-fa1d-4cdf-9489-c434900dfd97,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-06-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110133164,fab4bf1b-500d-4722-a4ce-54892e2e1271,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-04-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110133144,f94cd2e7-7e56-45b8-9f6e-31178c9272f1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-07-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
3110125293,f552b904-fa8f-4fbf-b35f-990096007403,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-04-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
