gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3499380353,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/38043661,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Philautus,Philautus surdus,,SPECIES,"Philautus surdus (Peters, 1863)",Philautus surdus,,PH,,Davao del Sur,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,7.086725,125.341139,9746,,,,,,4/29/19 05:58,29,4,2019,2423736,2423736,HUMAN_OBSERVATION,iNaturalist,Observations,38043661,,delimaelsa,1/28/20 00:13,CC_BY_NC_4_0,delimaelsa,delimaelsa,,,2/25/22 14:40,StillImage,COORDINATE_ROUNDED
3462119302,dce00a1f-f6b4-4e11-9771-92c62c40ad80,b2f76242-c08b-4ea3-8fdf-7fbf3803e353,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Lapid-Lapid,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.10361,119.837296,,,,,,,8/6/21 00:00,6,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351723,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462116307,dce00a1f-f6b4-4e11-9771-92c62c40ad80,b72bd115-8d7d-405a-8a65-8a59f91c7ceb,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Lapid-Lapid,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.10361,119.837296,,,,,,,8/6/21 00:00,6,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351716,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:02,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462116306,dce00a1f-f6b4-4e11-9771-92c62c40ad80,b04e8228-df7a-48af-94c6-d5086a465089,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Tubig Indangan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,4.88819,119.79394,,,,,,,7/31/21 00:00,31,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351706,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462116301,dce00a1f-f6b4-4e11-9771-92c62c40ad80,1f7aa7f4-ad49-4e9c-a0ab-143e9b4dd71b,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Lapid-Lapid,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.10361,119.837296,,,,,,,8/6/21 00:00,6,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351717,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462115310,dce00a1f-f6b4-4e11-9771-92c62c40ad80,e79bc129-b9f7-482d-980b-07e6481aa0f9,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Lapid-Lapid,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.10361,119.837296,,,,,,,8/6/21 00:00,6,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351724,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:02,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462115302,dce00a1f-f6b4-4e11-9771-92c62c40ad80,28b533a9-6b12-49e2-b9e0-faf135c73b26,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Tubig Indangan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,4.88819,119.79394,,,,,,,8/1/21 00:00,1,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351711,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462114307,dce00a1f-f6b4-4e11-9771-92c62c40ad80,8ae7b10d-3c19-472b-9a67-b98cf0ac568b,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Tubig Indangan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,4.88819,119.79394,,,,,,,8/1/21 00:00,1,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351712,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462114303,dce00a1f-f6b4-4e11-9771-92c62c40ad80,53d68657-6cfe-4aad-8b5b-f2d26893cae9,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Tubig Indangan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,4.88819,119.79394,,,,,,,8/1/21 00:00,1,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351708,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462113302,dce00a1f-f6b4-4e11-9771-92c62c40ad80,598a6bce-8f99-43e4-9cbb-6029a6f0a64e,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Luk Pandan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.06628,119.78166,,,,,,,8/5/21 00:00,5,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351713,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian; Saddari, Fauriza",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
