gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,identifiedBy,dateIdentified,recordedBy
3749157832,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,,GENUS,PH,Mt. Duraragan Apayao subprovince Luzon.,,1953-06-01 0:00:00,3029010,,PRESERVED_SPECIMEN,CANB,,,"Edano, G.E."
3749088366,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Rotala,,GENUS,PH,"Manila and vicinity, Luzon.",Metropolitan Manila,1910-11-21 0:00:00,3188668,,PRESERVED_SPECIMEN,MEL,"Cook, C.D.K.",1978-01-01 0:00:00,"Merrill, E.D."
3709920421,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Decaspermum,Decaspermum parviflorum,SPECIES,PH,,,,3180045,3180045,PRESERVED_SPECIMEN,GA,,,
3701857003,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium mainitense,SPECIES,PH,Mt. Bulusan,Sorsogon,1915-09-01 0:00:00,3184671,3184671,PRESERVED_SPECIMEN,NHMUK,James W. Byng,,Maximo Ramos
3466834893,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,,GENUS,PH,"Philippine Isl. [=Philippine Islands, the Philipines.]",,,3188723,,PRESERVED_SPECIMEN,MEL,,,"Cuming, H."
3466834312,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,,GENUS,PH,"Philippine Islands, Leon, Panay. | Leon, Panay, Filipinas [=Municipality of Leon, Panay Island, Philippines.]",Iloilo,1886-05-28 0:00:00,3188723,,PRESERVED_SPECIMEN,MEL,,,"Tenison-Woods, J.E."
3466252292,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Pemphis,Pemphis acidula,SPECIES,PH,,Ilocos Norte,2019-04-24 16:11:11,3188706,3188706,HUMAN_OBSERVATION,iNaturalist,Jose Marfori,2022-01-30 5:11:57,Jose Marfori
3466098563,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,Psidium guajava,SPECIES,PH,,Rizal,2021-01-13 8:35:25,5420380,5420380,HUMAN_OBSERVATION,iNaturalist,inatural156,2021-09-22 14:37:13,barasphis_jv_gonzales_grade9
3456817489,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium myrtifolium,SPECIES,PH,,Negros Occidental,2021-11-16 8:46:00,3183420,3183420,HUMAN_OBSERVATION,iNaturalist,alvaran_kim,2021-11-18 13:06:54,alvaran_kim
3456691344,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,Psidium guajava,SPECIES,PH,,Negros Occidental,2021-10-27 16:29:00,5420380,5420380,HUMAN_OBSERVATION,iNaturalist,inatural156,2021-10-27 10:48:27,julesvern_garcia
