occurrenceID,kingdom,phylum,class,order,family,genus,species,countryCode,locality,stateProvince,occurrenceStatus,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,identifiedBy,dateIdentified,rightsHolder,recordedBy
133,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Thalassoma,Thalassoma hardwicke,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2384462,2384460,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
134,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Thalassoma,Thalassoma lunare,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2384468,2384468,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
135,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Upeneus,Upeneus tragula,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2396757,2396757,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
128,Animalia,Chordata,Actinopterygii,Perciformes,Nemipteridae,Scolopsis,Scolopsis bilineata,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2380125,2380123,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
127,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,Scarus niger,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2393689,2393689,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
129,Animalia,Chordata,Actinopterygii,Perciformes,Nemipteridae,Scolopsis,Scolopsis lineata,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2380078,2380075,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
131,Animalia,Chordata,Actinopterygii,Perciformes,Siganidae,Siganus,Siganus puellus,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2390277,2390277,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
130,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Selaroides,Selaroides leptolepis,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2391226,2391226,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
108,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,Dascyllus reticulatus,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,5212044,5212044,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
132,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Stethojulis,Stethojulis bandanensis,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2383402,2383402,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
109,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,Dascyllus trimaculatus,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,5212031,5212031,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
116,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Neoglyphidodon,Neoglyphidodon melas,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2398600,2398600,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
124,Animalia,Chordata,Actinopterygii,Perciformes,Caesionidae,Pterocaesio,Pterocaesio tile,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2374759,2374759,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
102,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,5962165,,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
103,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis viridis,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,5212219,5212219,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
125,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,Scarus flavipectoralis,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2393629,2393629,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
123,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Pseudanthias,Pseudanthias tuka,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2387643,2387643,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
110,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Dischistodus,Dischistodus perspicillatus,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2398191,2398191,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
120,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus coelestis,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2398388,2398388,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
126,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,Scarus ghobban,PH,,Tawi-Tawi,PRESENT,2005-10-04 0:00:00,2393577,2393577,HUMAN_OBSERVATION,,"Ernesto Baird, Filemon Romero, Reynaldo Benson, Jamrun Ebbah",,,
