gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,recordedBy
3748607519,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mussaenda,Mussaenda philippica,SPECIES,PH,,Laguna,1994-04-25 0:00:00,2892466,2892466,PRESERVED_SPECIMEN,,,973,,"C. Mendoza, R. Pagcaliwagan, & J. Maranan"
3748607518,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mussaenda,Mussaenda philippica,SPECIES,PH,,Laguna,1972-11-20 0:00:00,2892466,2892466,PRESERVED_SPECIMEN,,,23798,,G.R. Price
3748607517,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mussaenda,,GENUS,PH,,Laguna,1972-10-26 0:00:00,2892394,,PRESERVED_SPECIMEN,,,23745,,G.R. Price
3748607516,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Neonauclea,Neonauclea calycina,SPECIES,PH,,Camarines Sur,1998-11-28 0:00:00,2919454,2919454,PRESERVED_SPECIMEN,,,65089,,M.A.O. Cajano & F.H. Mandia
3748607515,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Adina,Adina multifolia,SPECIES,PH,,Laguna,1958-02-04 0:00:00,2903028,2903029,PRESERVED_SPECIMEN,,,8642,,G.C. Lugod
3748607514,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mussaenda,,GENUS,PH,,Laguna,1972-12-12 0:00:00,2892394,,PRESERVED_SPECIMEN,,,28721,,G.R. Price
3748607513,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Neonauclea,Neonauclea calycina,SPECIES,PH,,Camarines Sur,1998-11-28 0:00:00,2919454,2919454,PRESERVED_SPECIMEN,,,65088,,M.A.O. Cajano & F.H. Mandia
3748607512,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mussaenda,,GENUS,PH,,Laguna,1972-10-26 0:00:00,2892394,,PRESERVED_SPECIMEN,,,23722,,G.R. Price
3748607511,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Neonauclea,Neonauclea calycina,SPECIES,PH,,Camarines Sur,1998-11-28 0:00:00,2919454,2919454,PRESERVED_SPECIMEN,,,65087,,M.A.O. Cajano & F.H. Mandia
3748607510,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mussaenda,,GENUS,PH,,Laguna,1972-11-17 0:00:00,2892394,,PRESERVED_SPECIMEN,,,23742,,G.R. Price
3748607509,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mussaenda,,GENUS,PH,,Laguna,1972-10-26 0:00:00,2892394,,PRESERVED_SPECIMEN,,,23741,,G.R. Price
3748607508,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mussaenda,,GENUS,PH,,Laguna,1972-10-26 0:00:00,2892394,,PRESERVED_SPECIMEN,,,23744,,G.R. Price
